,train_loss,train_accuracy,validation_loss,validation_accuracy
0,1.227860632865492,0.1224438484746899,1.1750716506316259,0.18900804289544235
1,1.1024436994442954,0.25067046597385184,1.0680680504273474,0.28619302949061665
2,1.0169627266394945,0.32785786121354343,1.0082167308907406,0.33109919571045576
3,0.9333293191236895,0.4015253100905129,0.9327549059892787,0.3987935656836461
4,0.838994760197399,0.4813945692256118,0.841606634651528,0.4738605898123324
5,0.736000719115243,0.5621019108280255,0.7701881884549802,0.5402144772117963
6,0.631332149410054,0.6423064029500503,0.6994176043631963,0.5938337801608579
7,0.5324805930101988,0.7062520952061683,0.6409330816175439,0.6246648793565683
8,0.43542124119256614,0.7706168286959437,0.5816421111566252,0.6662198391420912
9,0.349534457469527,0.8304559168622192,0.5536127612943543,0.6776139410187667
10,0.27527349947477486,0.8706000670465974,0.5189307222027961,0.7017426273458445
11,0.2157262427419514,0.9044585987261147,0.4812224892469937,0.7272117962466488
12,0.17078867530975675,0.9308581964465303,0.4543915758553603,0.7546916890080428
13,0.13090393863150995,0.9511397921555481,0.4403950820942896,0.7640750670241286
14,0.10262008152787858,0.9627891384512236,0.4250705999330974,0.7774798927613941
15,0.08439109594231153,0.9698290311766677,0.4076337660094798,0.7949061662198391
16,0.07260523690513725,0.974773717733825,0.4373715548406557,0.7801608579088471
17,0.06414674985091157,0.9762822661749916,0.399013774484944,0.8022788203753352
18,0.05182681741343422,0.9813945692256117,0.3861137861754226,0.8176943699731903
19,0.05043288774869086,0.9803050620181026,0.41348183158727053,0.8089812332439679
